rank,anum,verdict,engine,file
1,A063305,PROOF,quadratic,papers/00001-00500/00001-PROOF.pdf
2,A063337,PROOF,quadratic,papers/00001-00500/00002-PROOF.pdf
3,A063321,PROOF,quadratic,papers/00001-00500/00003-PROOF.pdf
4,A061002,PROOF,quadratic,papers/00001-00500/00004-PROOF.pdf
5,A129365,PROOF,quadratic,papers/00001-00500/00005-PROOF.pdf
6,A129454,PROOF,quadratic,papers/00001-00500/00006-PROOF.pdf
7,A092287,PROOF,quadratic,papers/00001-00500/00007-PROOF.pdf
8,A129364,PROOF,quadratic,papers/00001-00500/00008-PROOF.pdf
9,A036284,PROOF,quadratic,papers/00001-00500/00009-PROOF.pdf
10,A036284,PROOF,quadratic,papers/00001-00500/00010-PROOF.pdf
11,A037097,PROOF,quadratic,papers/00001-00500/00011-PROOF.pdf
12,A037096,PROOF,quadratic,papers/00001-00500/00012-PROOF.pdf
13,A059970,PROOF,quadratic,papers/00001-00500/00013-PROOF.pdf
14,A059970,PROOF,quadratic,papers/00001-00500/00014-PROOF.pdf
15,A352117,PROOF,quadratic,papers/00001-00500/00015-PROOF.pdf
16,A305404,PROOF,quadratic,papers/00001-00500/00016-PROOF.pdf
17,A062368,PROOF,quadratic,papers/00001-00500/00017-PROOF.pdf
18,A005329,PROOF,quadratic,papers/00001-00500/00018-PROOF.pdf
19,A000071,PROOF,quadratic,papers/00001-00500/00019-PROOF.pdf
20,A000139,PROOF,quadratic,papers/00001-00500/00020-PROOF.pdf
21,A000040,PROOF,quadratic,papers/00001-00500/00021-PROOF.pdf
22,A087726,PROOF,algfield,papers/00001-00500/00022-PROOF.pdf
23,A059324,PROOF,quadratic,papers/00001-00500/00023-PROOF.pdf
24,A047926,PROOF,quadratic,papers/00001-00500/00024-PROOF.pdf
25,A358272,PROOF,quadratic,papers/00001-00500/00025-PROOF.pdf
26,A358319,PROOF,quadratic,papers/00001-00500/00026-PROOF.pdf
27,A327123,PROOF,quadratic,papers/00001-00500/00027-PROOF.pdf
28,A000364,DISPROOF,quadratic,papers/00001-00500/00028-DISPROOF.pdf
29,A000040,DISPROOF,quadratic,papers/00001-00500/00029-DISPROOF.pdf
30,A008365,DISPROOF,quadratic,papers/00001-00500/00030-DISPROOF.pdf
31,A154145,PROOF,pell-triangular-square,papers/00001-00500/00031-PROOF.pdf
32,A063105,PROOF,cusp-form-dimension,papers/00001-00500/00032-PROOF.pdf
33,A063141,PROOF,cusp-form-dimension,papers/00001-00500/00033-PROOF.pdf
34,A063165,PROOF,cusp-form-dimension,papers/00001-00500/00034-PROOF.pdf
35,A154140,PROOF,pell-triangular-square,papers/00001-00500/00035-PROOF.pdf
36,A154141,PROOF,pell-triangular-square,papers/00001-00500/00036-PROOF.pdf
37,A154142,PROOF,pell-triangular-square,papers/00001-00500/00037-PROOF.pdf
38,A154143,PROOF,pell-triangular-square,papers/00001-00500/00038-PROOF.pdf
39,A154144,PROOF,pell-triangular-square,papers/00001-00500/00039-PROOF.pdf
40,A154148,PROOF,pell-triangular-square,papers/00001-00500/00040-PROOF.pdf
41,A154150,PROOF,pell-triangular-square,papers/00001-00500/00041-PROOF.pdf
42,A154151,PROOF,pell-triangular-square,papers/00001-00500/00042-PROOF.pdf
43,A154153,PROOF,pell-triangular-square,papers/00001-00500/00043-PROOF.pdf
44,A154154,PROOF,pell-triangular-square,papers/00001-00500/00044-PROOF.pdf
45,A063087,PROOF,cusp-form-dimension,papers/00001-00500/00045-PROOF.pdf
46,A063089,PROOF,cusp-form-dimension,papers/00001-00500/00046-PROOF.pdf
47,A063099,PROOF,cusp-form-dimension,papers/00001-00500/00047-PROOF.pdf
48,A063107,PROOF,cusp-form-dimension,papers/00001-00500/00048-PROOF.pdf
49,A063111,PROOF,cusp-form-dimension,papers/00001-00500/00049-PROOF.pdf
50,A063117,PROOF,cusp-form-dimension,papers/00001-00500/00050-PROOF.pdf
51,A063125,PROOF,cusp-form-dimension,papers/00001-00500/00051-PROOF.pdf
52,A063135,PROOF,cusp-form-dimension,papers/00001-00500/00052-PROOF.pdf
53,A063147,PROOF,cusp-form-dimension,papers/00001-00500/00053-PROOF.pdf
54,A063159,PROOF,cusp-form-dimension,papers/00001-00500/00054-PROOF.pdf
55,A063161,PROOF,cusp-form-dimension,papers/00001-00500/00055-PROOF.pdf
56,A063094,PROOF,cusp-form-dimension,papers/00001-00500/00056-PROOF.pdf
57,A063102,PROOF,cusp-form-dimension,papers/00001-00500/00057-PROOF.pdf
58,A063109,PROOF,cusp-form-dimension,papers/00001-00500/00058-PROOF.pdf
59,A063121,PROOF,cusp-form-dimension,papers/00001-00500/00059-PROOF.pdf
60,A063133,PROOF,cusp-form-dimension,papers/00001-00500/00060-PROOF.pdf
61,A063142,PROOF,cusp-form-dimension,papers/00001-00500/00061-PROOF.pdf
62,A063150,PROOF,cusp-form-dimension,papers/00001-00500/00062-PROOF.pdf
63,A063153,PROOF,cusp-form-dimension,papers/00001-00500/00063-PROOF.pdf
64,A063098,PROOF,cusp-form-dimension,papers/00001-00500/00064-PROOF.pdf
65,A063116,PROOF,cusp-form-dimension,papers/00001-00500/00065-PROOF.pdf
66,A063120,PROOF,cusp-form-dimension,papers/00001-00500/00066-PROOF.pdf
67,A063122,PROOF,cusp-form-dimension,papers/00001-00500/00067-PROOF.pdf
68,A063128,PROOF,cusp-form-dimension,papers/00001-00500/00068-PROOF.pdf
69,A063130,PROOF,cusp-form-dimension,papers/00001-00500/00069-PROOF.pdf
